"Species","Species Name","Scientific Name Authorship","Taxon Rank","Kingdom","Phylum","Class","Order","Family","Genus","Vernacular Name","Conservation","Invasive"
"http://id.biodiversity.org.au/node/apni/2911612","Verticordia inclusa","A.S.George","species","Plantae","Charophyta","Equisetopsida","Myrtales","Myrtaceae","Verticordia",,"",""
"http://id.biodiversity.org.au/node/apni/2911963","Eutaxia myrtifolia","(Sm.) R.Br.","species","Plantae","Charophyta","Equisetopsida","Fabales","Fabaceae","Eutaxia",,"",""
"http://id.biodiversity.org.au/node/apni/2918255","Eucalyptus diversicolor","F.Muell.","species","Plantae","Charophyta","Equisetopsida","Myrtales","Myrtaceae","Eucalyptus",,"",""
"http://id.biodiversity.org.au/node/apni/2887494","Eucalyptus websteriana","Maiden","species","Plantae","Charophyta","Equisetopsida","Myrtales","Myrtaceae","Eucalyptus",,"",""
"http://id.biodiversity.org.au/node/apni/2890671","Hakea costata","Meisn.","species","Plantae","Charophyta","Equisetopsida","Proteales","Proteaceae","Hakea",,"",""
"http://id.biodiversity.org.au/node/apni/2897972","Solanum plicatile","(S.Moore) Symon","species","Plantae","Charophyta","Equisetopsida","Solanales","Solanaceae","Solanum",,"",""
"http://id.biodiversity.org.au/node/apni/2898646","Cyperus difformis","L.","species","Plantae","Charophyta","Equisetopsida","Poales","Cyperaceae","Cyperus","Dirty Dora","Queensland : Conservation Status|Northern Territory : Conservation Status",""
"http://id.biodiversity.org.au/node/apni/2902208","Goodenia microptera","F.Muell.","species","Plantae","Charophyta","Equisetopsida","Asterales","Goodeniaceae","Goodenia",,"Queensland : Conservation Status",""
"http://id.biodiversity.org.au/node/apni/2902604","Banksia formosa","(R.Br.) A.R.Mast & K.R.Thiele","species","Plantae","Charophyta","Equisetopsida","Proteales","Proteaceae","Banksia",,"",""
"http://id.biodiversity.org.au/node/apni/2909734","Chorilaena quercifolia","Endl.","species","Plantae","Charophyta","Equisetopsida","Sapindales","Rutaceae","Chorilaena",,"",""
"http://id.biodiversity.org.au/node/apni/2911947","Austrostipa campylachne","(Nees) S.W.L.Jacobs & J.Everett","species","Plantae","Charophyta","Equisetopsida","Poales","Poaceae","Austrostipa",,"",""
"http://id.biodiversity.org.au/node/apni/2886224","Pultenaea verruculosa","Turcz.","species","Plantae","Charophyta","Equisetopsida","Fabales","Fabaceae","Pultenaea",,"",""
"http://id.biodiversity.org.au/node/apni/2887138","Abutilon hannii","Baker f.","species","Plantae","Charophyta","Equisetopsida","Malvales","Malvaceae","Abutilon",,"Queensland : Conservation Status|Northern Territory : Conservation Status",""
"http://id.biodiversity.org.au/node/apni/2888098","Melaleuca leuropoma","Craven","species","Plantae","Charophyta","Equisetopsida","Myrtales","Myrtaceae","Melaleuca",,"",""
"http://id.biodiversity.org.au/node/apni/2888201","Dactyloctenium radulans","(R.Br.) P.Beauv.","species","Plantae","Charophyta","Equisetopsida","Poales","Poaceae","Dactyloctenium",,"Queensland : Conservation Status|Victoria : Conservation Status|Northern Territory : Conservation Status",""
"http://id.biodiversity.org.au/node/apni/2892996","Thryptomene cuspidata","(Turcz.) J.W.Green","species","Plantae","Charophyta","Equisetopsida","Myrtales","Myrtaceae","Thryptomene",,"",""
